city_name,latitude,longitude,forecast_date,temperature_max,temperature_min,precipitation,precipitation_probability,wind_speed,wind_gusts,weather_code
Casablanca,33.5992,-7.62,2026-09-18,24.5,18.7,0.0,0,13.0,35.3,3
Casablanca,33.5992,-7.62,2026-09-19,26.8,19.4,0.0,0,11.9,32.8,45
Casablanca,33.5992,-7.62,2026-09-20,29.7,20.5,0.0,0,10.5,31.0,2
Casablanca,33.5992,-7.62,2026-09-21,29.2,21.2,0.0,0,10.2,32.0,45
Casablanca,33.5992,-7.62,2026-09-22,28.7,20.8,0.0,0,10.0,28.4,45
Casablanca,33.5992,-7.62,2026-09-23,29.3,19.6,0.0,0,12.6,32.8,45
Casablanca,33.5992,-7.62,2026-09-24,29.3,19.7,0.0,0,11.0,33.5,45
Tangier,35.7767,-5.8039,2026-09-18,28.0,18.3,0.0,0,21.3,49.3,2
Tangier,35.7767,-5.8039,2026-09-19,27.5,22.6,0.0,0,32.2,75.6,2
Tangier,35.7767,-5.8039,2026-09-20,28.5,23.9,0.0,0,31.3,74.9,1
Tangier,35.7767,-5.8039,2026-09-21,28.3,22.8,0.0,0,28.5,68.0,2
Tangier,35.7767,-5.8039,2026-09-22,28.2,21.4,0.0,0,24.1,58.0,2
Tangier,35.7767,-5.8039,2026-09-23,28.2,21.9,0.0,0,23.4,42.8,1
Tangier,35.7767,-5.8039,2026-09-24,30.1,20.8,0.0,0,21.7,41.0,0
Fès,34.0433,-5.0033,2026-09-18,31.7,17.4,0.0,0,10.0,27.4,3
Fès,34.0433,-5.0033,2026-09-19,34.1,21.0,0.0,5,20.1,49.3,2
Fès,34.0433,-5.0033,2026-09-20,35.1,22.3,0.0,0,13.6,36.7,1
Fès,34.0433,-5.0033,2026-09-21,34.1,22.1,0.0,0,12.8,33.1,2
Fès,34.0433,-5.0033,2026-09-22,33.5,20.9,0.0,0,9.8,26.6,2
Fès,34.0433,-5.0033,2026-09-23,35.0,20.3,0.0,0,7.3,22.3,0
Fès,34.0433,-5.0033,2026-09-24,35.8,21.5,0.0,0,10.0,24.5,0
Marrakech,31.6295,-7.9811,2026-09-18,32.0,17.9,0.0,0,7.4,22.3,2
Marrakech,31.6295,-7.9811,2026-09-19,36.1,20.8,0.1,25,9.2,28.1,2
Marrakech,31.6295,-7.9811,2026-09-20,37.6,22.7,0.2,38,10.4,31.0,3
Marrakech,31.6295,-7.9811,2026-09-21,37.3,22.4,0.0,2,12.7,36.7,2
Marrakech,31.6295,-7.9811,2026-09-22,36.6,20.8,0.0,3,15.8,39.6,0
Marrakech,31.6295,-7.9811,2026-09-23,36.3,19.1,0.0,3,10.9,22.7,0
Marrakech,31.6295,-7.9811,2026-09-24,35.7,20.7,0.0,3,10.6,23.4,1
Sale,34.05,-6.8167,2026-09-18,25.5,16.3,0.0,0,14.0,36.4,45
Sale,34.05,-6.8167,2026-09-19,30.5,17.3,0.0,0,14.1,36.4,1
Sale,34.05,-6.8167,2026-09-20,30.1,20.2,0.0,0,11.5,30.2,1
Sale,34.05,-6.8167,2026-09-21,30.6,20.4,0.0,0,12.8,32.8,1
Sale,34.05,-6.8167,2026-09-22,29.6,20.1,0.0,0,10.9,29.2,0
Sale,34.05,-6.8167,2026-09-23,28.1,19.2,0.0,0,12.9,28.1,1
Sale,34.05,-6.8167,2026-09-24,28.2,18.8,0.0,0,10.5,27.7,45
Meknès,33.8833,-5.55,2026-09-18,30.0,15.7,0.0,0,13.8,37.1,2
Meknès,33.8833,-5.55,2026-09-19,34.1,19.2,0.0,5,12.7,34.9,2
Meknès,33.8833,-5.55,2026-09-20,35.2,21.4,0.0,0,12.9,33.5,1
Meknès,33.8833,-5.55,2026-09-21,34.6,20.1,0.0,0,13.3,34.6,1
Meknès,33.8833,-5.55,2026-09-22,33.1,18.9,0.0,0,12.4,32.8,1
Meknès,33.8833,-5.55,2026-09-23,33.9,18.9,0.0,0,11.3,31.3,0
Meknès,33.8833,-5.55,2026-09-24,34.4,19.2,0.0,0,13.7,29.5,0
Rabat,34.0211,-6.8414,2026-09-18,25.6,16.4,0.0,0,14.0,36.4,45
Rabat,34.0211,-6.8414,2026-09-19,30.5,17.3,0.0,0,14.1,36.4,1
Rabat,34.0211,-6.8414,2026-09-20,30.1,20.3,0.0,0,11.5,30.2,1
Rabat,34.0211,-6.8414,2026-09-21,30.6,20.5,0.0,0,12.8,32.8,1
Rabat,34.0211,-6.8414,2026-09-22,29.7,20.2,0.0,0,10.9,29.2,0
Rabat,34.0211,-6.8414,2026-09-23,28.2,19.2,0.0,0,12.9,28.1,1
Rabat,34.0211,-6.8414,2026-09-24,28.3,18.9,0.0,0,10.5,27.7,45
Agadir,30.4214,-9.5831,2026-09-18,26.3,19.4,0.0,0,11.1,32.0,2
Agadir,30.4214,-9.5831,2026-09-19,26.2,20.3,0.0,0,13.3,38.2,2
Agadir,30.4214,-9.5831,2026-09-20,27.9,20.8,0.0,0,11.6,35.3,45
Agadir,30.4214,-9.5831,2026-09-21,33.4,21.6,0.0,0,8.6,28.8,3
Agadir,30.4214,-9.5831,2026-09-22,32.9,23.3,0.0,0,11.2,37.1,45
Agadir,30.4214,-9.5831,2026-09-23,35.6,20.1,0.0,0,13.2,28.4,45
Agadir,30.4214,-9.5831,2026-09-24,34.0,18.2,0.0,0,12.9,26.6,45
Kenitra,34.25,-6.5833,2026-09-18,27.4,15.6,0.0,0,15.0,37.8,45
Kenitra,34.25,-6.5833,2026-09-19,34.4,17.5,0.0,0,17.1,45.0,1
