city_name,latitude,longitude,forecast_date,temperature_max,temperature_min,precipitation,precipitation_probability,wind_speed,wind_gusts,weather_code
Casablanca,33.5992,-7.62,2026-09-15,28.7,21.7,0.0,0,11.0,31.0,45
Casablanca,33.5992,-7.62,2026-09-16,25.9,21.0,0.0,0,14.0,36.4,45
Casablanca,33.5992,-7.62,2026-09-17,25.8,19.9,0.0,0,11.7,33.5,3
Casablanca,33.5992,-7.62,2026-09-18,26.3,18.6,0.0,3,14.0,36.4,45
Casablanca,33.5992,-7.62,2026-09-19,27.0,19.9,0.0,0,12.4,33.5,45
Casablanca,33.5992,-7.62,2026-09-20,31.8,21.5,0.0,0,11.6,29.9,2
Casablanca,33.5992,-7.62,2026-09-21,30.3,21.6,0.0,0,13.6,36.0,2
Tangier,35.7767,-5.8039,2026-09-15,30.2,21.5,0.0,0,13.2,31.3,0
Tangier,35.7767,-5.8039,2026-09-16,26.7,18.2,0.0,0,19.0,44.6,3
Tangier,35.7767,-5.8039,2026-09-17,26.1,16.6,0.0,0,12.0,28.8,3
Tangier,35.7767,-5.8039,2026-09-18,28.4,20.3,0.0,8,18.3,44.3,3
Tangier,35.7767,-5.8039,2026-09-19,27.7,21.9,0.0,0,31.1,73.8,1
Tangier,35.7767,-5.8039,2026-09-20,25.5,22.6,0.0,0,45.7,88.2,2
Tangier,35.7767,-5.8039,2026-09-21,25.6,21.9,0.0,0,42.9,80.6,2
Fès,34.0433,-5.0033,2026-09-15,34.5,23.8,0.0,0,14.7,37.8,1
Fès,34.0433,-5.0033,2026-09-16,31.1,20.7,0.0,0,16.9,40.7,1
Fès,34.0433,-5.0033,2026-09-17,29.5,18.7,0.0,5,11.7,31.3,3
Fès,34.0433,-5.0033,2026-09-18,31.2,18.3,0.0,5,9.1,24.5,3
Fès,34.0433,-5.0033,2026-09-19,33.7,21.0,0.0,0,16.9,44.6,1
Fès,34.0433,-5.0033,2026-09-20,33.9,21.9,0.0,0,20.0,48.6,1
Fès,34.0433,-5.0033,2026-09-21,33.8,21.5,0.0,0,14.4,37.4,0
Marrakech,31.6295,-7.9811,2026-09-15,37.1,25.6,0.0,3,11.9,39.6,3
Marrakech,31.6295,-7.9811,2026-09-16,34.6,21.7,0.0,0,12.7,34.6,0
Marrakech,31.6295,-7.9811,2026-09-17,30.5,19.1,0.0,0,9.6,27.7,3
Marrakech,31.6295,-7.9811,2026-09-18,31.7,19.2,0.0,8,7.3,25.6,1
Marrakech,31.6295,-7.9811,2026-09-19,36.3,20.8,0.0,3,7.5,23.8,2
Marrakech,31.6295,-7.9811,2026-09-20,39.0,23.7,0.0,3,14.7,24.8,3
Marrakech,31.6295,-7.9811,2026-09-21,34.5,23.6,0.0,5,17.0,31.3,3
Sale,34.05,-6.8167,2026-09-15,28.1,21.6,0.0,0,12.1,31.7,45
Sale,34.05,-6.8167,2026-09-16,26.1,20.8,0.0,0,15.0,37.4,3
Sale,34.05,-6.8167,2026-09-17,26.3,19.6,0.0,0,12.0,31.7,3
Sale,34.05,-6.8167,2026-09-18,26.9,16.3,0.0,3,12.0,31.7,45
Sale,34.05,-6.8167,2026-09-19,29.4,17.3,0.0,0,12.4,32.0,45
Sale,34.05,-6.8167,2026-09-20,33.5,19.4,0.0,0,13.6,32.0,1
Sale,34.05,-6.8167,2026-09-21,28.4,20.3,0.0,0,11.8,27.7,0
Meknès,33.8833,-5.55,2026-09-15,33.4,21.8,0.0,0,16.1,41.4,2
Meknès,33.8833,-5.55,2026-09-16,30.0,18.8,0.0,0,16.1,40.0,2
Meknès,33.8833,-5.55,2026-09-17,27.8,17.5,0.0,3,13.2,33.8,3
Meknès,33.8833,-5.55,2026-09-18,29.7,16.3,0.0,18,12.0,30.6,2
Meknès,33.8833,-5.55,2026-09-19,33.5,18.6,0.0,5,11.6,34.9,1
Meknès,33.8833,-5.55,2026-09-20,34.9,21.1,0.0,1,18.6,40.7,2
Meknès,33.8833,-5.55,2026-09-21,34.2,20.3,0.0,0,11.6,26.6,0
Rabat,34.0211,-6.8414,2026-09-15,28.1,21.6,0.0,0,12.1,31.7,45
Rabat,34.0211,-6.8414,2026-09-16,26.2,20.9,0.0,0,15.0,37.4,3
Rabat,34.0211,-6.8414,2026-09-17,26.3,19.6,0.0,0,12.0,31.7,3
Rabat,34.0211,-6.8414,2026-09-18,27.0,16.4,0.0,3,12.0,31.7,45
Rabat,34.0211,-6.8414,2026-09-19,29.5,17.4,0.0,0,12.4,32.0,45
Rabat,34.0211,-6.8414,2026-09-20,33.6,19.5,0.0,0,13.6,32.0,1
Rabat,34.0211,-6.8414,2026-09-21,28.4,20.3,0.0,0,11.8,27.7,0
Agadir,30.4214,-9.5831,2026-09-15,35.6,27.5,0.0,5,10.8,34.9,3
Agadir,30.4214,-9.5831,2026-09-16,38.1,23.9,0.0,0,20.4,49.0,1
Agadir,30.4214,-9.5831,2026-09-17,28.3,20.9,0.0,0,14.7,40.7,2
Agadir,30.4214,-9.5831,2026-09-18,27.1,20.2,0.0,3,13.3,36.7,2
Agadir,30.4214,-9.5831,2026-09-19,27.7,21.4,0.0,0,12.6,38.2,2
Agadir,30.4214,-9.5831,2026-09-20,28.5,21.0,0.0,0,15.0,30.6,2
Agadir,30.4214,-9.5831,2026-09-21,33.3,21.3,0.0,0,12.8,27.0,45
Kenitra,34.25,-6.5833,2026-09-15,29.0,21.2,0.0,0,13.2,33.1,45
